Id,AVG,,,,,,
001j000000fTlyMAAS,4498,,,1,,,
001j000000fTm15AAC,2000,,,100,,,
001j000000fTmiRAAS,225,,,500,,,
001j000000fTmn2AAC,21807,,,1000,,,
001j000000fTmnYAAS,15948,,,5000,,,
001j000000fTmvSAAS,9184,,,10000,,,
001j000000fTnYiAAK,11470,,,,,,
001j000000fTo5uAAC,11276,,,,,,
001j000000fTqkVAAS,3945,,,,,Bin,Frequency
001j000000fTmViAAK,4489,,,,,1,58
001j000000fTp2xAAC,3867,,,,,100,36071
001j000000fTmnVAAS,11047,,,,,500,6965
001j000000fTmTYAA0,12783,,,,,1000,1373
001j000000fTqQyAAK,10552,,,,,5000,3736
001j000000fTmIoAAK,1848,,,,,10000,798
001j000000fTq7lAAC,5367,,,,,More,427
001j000000fTmMSAA0,3185,,,,,,
001j000000fTmTiAAK,23,,,,,,
001j000000fTm45AAC,5011,,,,,,
001j000000fTmI1AAK,228135,,,,,,
001j000000fTmRSAA0,11288,,,,,,
001j000000fTmStAAK,4568,,,,,,
001j000000fTmTLAA0,4995,,,,,,
001j000000fTmVrAAK,3116,,,,,,
001j000000fTmWRAA0,4599,,,,,,
001j000000fTmnTAAS,4012,,,,,,
001j000000fTmqsAAC,6582,,,,,,
001j000000fTmx2AAC,3362,,,,,,
001j000000fTnMDAA0,6319,,,,,,
001j000000fToiLAAS,26580,,,,,,
001j000000fTolKAAS,8245,,,,,,
001j000000fTp4xAAC,3676,,,,,,
001j000000fTp5DAAS,2944,,,,,,
001j000000hD3VnAAK,1028,,,,,,
001j000000eFTe1AAG,200,,,,,,
001j000000eG93yAAC,20,,,,,,
001j000000eGDNhAAO,200,,,,,,
001j000000eGIUQAA4,25,,,,,,
001j000000eGIYSAA4,50,,,,,,
001j000000eGlhQAAS,60,,,,,,
001j000000eH2VIAA0,125,,,,,,
001j000000fTlyKAAS,1492,,,,,,
001j000000fTlyaAAC,1051,,,,,,
001j000000fTlydAAC,600,,,,,,
001j000000fTlyfAAC,6938,,,,,,
001j000000fTlyhAAC,4768,,,,,,
001j000000fTlymAAC,4015,,,,,,
001j000000fTlynAAC,1960,,,,,,
001j000000fTlyoAAC,2295,,,,,,
001j000000fTlypAAC,3709,,,,,,
001j000000fTlyuAAC,133,,,,,,
001j000000fTlyvAAC,1250,,,,,,
001j000000fTlz2AAC,3430,,,,,,
001j000000fTlz7AAC,3689,,,,,,
001j000000fTlzDAAS,5622,,,,,,
001j000000fTlzFAAS,1900,,,,,,
001j000000fTlzKAAS,387,,,,,,
001j000000fTlzMAAS,619,,,,,,
001j000000fTlzOAAS,13080,,,,,,
001j000000fTlzPAAS,267,,,,,,
001j000000fTlzRAAS,208,,,,,,
001j000000fTlzSAAS,798,,,,,,
001j000000fTlzTAAS,143,,,,,,
001j000000fTlzVAAS,514,,,,,,
001j000000fTlzWAAS,379,,,,,,
001j000000fTlzYAAS,388,,,,,,
001j000000fTlzZAAS,1317,,,,,,
001j000000fTlzcAAC,2500,,,,,,
001j000000fTlzdAAC,2833,,,,,,
001j000000fTlzfAAC,1283,,,,,,
001j000000fTlzhAAC,1093,,,,,,
001j000000fTlziAAC,5341,,,,,,
001j000000fTlzmAAC,1206,,,,,,
001j000000fTlzoAAC,12723,,,,,,
001j000000fTlzpAAC,772,,,,,,
001j000000fTlzrAAC,34,,,,,,
001j000000fTlzsAAC,4767,,,,,,
001j000000fTlztAAC,1875,,,,,,
001j000000fTlzuAAC,3071,,,,,,
001j000000fTlzvAAC,1725,,,,,,
001j000000fTlzwAAC,2668,,,,,,
001j000000fTm00AAC,2606,,,,,,
001j000000fTm04AAC,474,,,,,,
001j000000fTm06AAC,4721,,,,,,
001j000000fTm07AAC,2667,,,,,,
001j000000fTm08AAC,957,,,,,,
001j000000fTm09AAC,3296,,,,,,
001j000000fTm0AAAS,2040,,,,,,
001j000000fTm0EAAS,64,,,,,,
001j000000fTm0FAAS,3547,,,,,,
001j000000fTm0GAAS,630,,,,,,
001j000000fTm0HAAS,1565,,,,,,
001j000000fTm0IAAS,75,,,,,,
001j000000fTm0TAAS,4350,,,,,,
001j000000fTm0VAAS,1700,,,,,,
001j000000fTm0YAAS,2544,,,,,,
001j000000fTm0ZAAS,350,,,,,,
001j000000fTm0cAAC,300,,,,,,
001j000000fTm0eAAC,2829,,,,,,
001j000000fTm0jAAC,1300,,,,,,
001j000000fTm0kAAC,2106,,,,,,
